region	recipe_name	url
Калининградская область	Литовский борщ	https://www.edimdoma.ru/retsepty/102645-litovskiy-borsch
Псковская область	Булочки синнабон с корицей	https://www.edimdoma.ru/retsepty/141367-bulochki-sinnabon-s-koritsey
Ленинградская область	Салат Лаззат с хрустящими баклажанами	https://www.edimdoma.ru/retsepty/145073-salat-lazzat-s-hrustyaschimi-baklazhanami
Санкт-Петербург	Салат Лаззат с хрустящими баклажанами	https://www.edimdoma.ru/retsepty/145073-salat-lazzat-s-hrustyaschimi-baklazhanami
Карелия	Салат Лаззат с хрустящими баклажанами	https://www.edimdoma.ru/retsepty/145073-salat-lazzat-s-hrustyaschimi-baklazhanami
Мурманская область	Меренговый рулет	https://www.edimdoma.ru/retsepty/124814-merengovyy-rulet
Новгородская область	Салат Лаззат с хрустящими баклажанами	https://www.edimdoma.ru/retsepty/145073-salat-lazzat-s-hrustyaschimi-baklazhanami
Тверская область	Салат Лаззат с хрустящими баклажанами	https://www.edimdoma.ru/retsepty/145073-salat-lazzat-s-hrustyaschimi-baklazhanami
Смоленская область	Щавель. Заготовка на зиму	https://www.edimdoma.ru/retsepty/42450-schavel-zagotovka-na-zimu
Брянская область	Щавель. Заготовка на зиму	https://www.edimdoma.ru/retsepty/42450-schavel-zagotovka-na-zimu
Вологодская область	Салат Лаззат с хрустящими баклажанами	https://www.edimdoma.ru/retsepty/145073-salat-lazzat-s-hrustyaschimi-baklazhanami
Калужская область	Салат Лаззат с хрустящими баклажанами	https://www.edimdoma.ru/retsepty/145073-salat-lazzat-s-hrustyaschimi-baklazhanami
Московская область	Салат Лаззат с хрустящими баклажанами	https://www.edimdoma.ru/retsepty/145073-salat-lazzat-s-hrustyaschimi-baklazhanami
Москва	Салат Лаззат с хрустящими баклажанами	https://www.edimdoma.ru/retsepty/145073-salat-lazzat-s-hrustyaschimi-baklazhanami
Ярославская область	Королевская ватрушка	https://edimdoma.ru/retsepty/76677-korolevskaya-vatrushka
Архангельская область	Салат Лаззат с хрустящими баклажанами	https://www.edimdoma.ru/retsepty/145073-salat-lazzat-s-hrustyaschimi-baklazhanami
Костромская область	Меренговый рулет	https://www.edimdoma.ru/retsepty/124814-merengovyy-rulet
Курская область	Меренговый рулет	https://www.edimdoma.ru/retsepty/124814-merengovyy-rulet
Орловская область	Меренговый рулет	https://www.edimdoma.ru/retsepty/124814-merengovyy-rulet
Тульская область	Лагман классический с говядиной	https://www.edimdoma.ru/retsepty/137351-lagman-s-govyadinoy
Владимирская область	Сладкий пирог со щавелем	https://www.edimdoma.ru/retsepty/58050-sladkiy-pirog-so-schavelem
Ивановская область	Королевская ватрушка	https://edimdoma.ru/retsepty/76677-korolevskaya-vatrushka
Коми	Булочки синнабон с корицей	https://www.edimdoma.ru/retsepty/141367-bulochki-sinnabon-s-koritsey
Ямало-Ненецкий АО	Меренговый рулет	https://www.edimdoma.ru/retsepty/124814-merengovyy-rulet
Красноярский край	Булочки синнабон с корицей	https://www.edimdoma.ru/retsepty/141367-bulochki-sinnabon-s-koritsey
Якутия	Булочки синнабон с корицей	https://www.edimdoma.ru/retsepty/141367-bulochki-sinnabon-s-koritsey
Камчатский край	Песто из черемши	https://www.edimdoma.ru/retsepty/66393-pesto-iz-cheremshi
